city,1995,1996,1997,1998,1999,2000,spi,spi_p
Adamantina,75000,72000,75000,83499,90000,50000,-2.04663244000954,-1.58116915965505
Adolfo,0,0,0,100000,100000,0,-1.20018094783474,0.445423426658533
Aguaí,90000,80000,80000,90000,90000,80000,-1.09161466716993,-0.361702566965028
Águas da Prata,0,0,0,0,0,0,-0.883347406424058,-0.418718757467037
Águas de Lindóia,60000,60000,60000,0,0,0,-1.74047232628289,-0.153740746035651
Águas de Santa Bárbara,63500,65000,60000,80000,80000,0,-1.87901628273635,-1.00524233038395
Águas de São Pedro,0,0,0,0,0,0,-1.86380647084963,-0.007843172669783
Agudos,90000,90000,70000,72000,78222,70000,-1.6845054768147,-1.05508126584085
Alambari,0,0,0,0,0,0,-3.21970624434815,-1.50164995464905
Alfredo Marcondes,0,0,0,0,70000,0,-1.44104054885575,-0.87101229918844
Altair,80000,85098,80000,90000,72452,75000,-1.8019061232645,-2.28594565012423
Altinópolis,70000,70000,70000,70000,70000,70000,-0.997882032928557,-1.59067782583574
Alto Alegre,74000,70000,70000,70000,70000,70000,-1.41487345471899,0.030035858348178
Alumínio,0,0,0,0,0,0,-1.91419855862176,-0.762396079536408
Álvares Florence,0,0,0,0,0,0,-1.27654141619093,-1.38135306179184
Álvares Machado,0,0,0,0,0,0,-2.03983804798206,-0.84047165040796
Álvaro de Carvalho,0,0,0,0,0,0,-1.74464825974156,-0.460399765857603
Alvinlândia,0,0,0,0,0,0,-1.91825458750473,-0.263392306929877
Americana,60000,60000,60000,78000,45000,60000,-1.43614503296594,-0.149870379556237
Américo Brasiliense,75000,75000,70000,80000,80819,79242,-1.24404665291598,-0.893384905416569
Américo de Campos,0,0,0,0,0,0,-1.27654141619093,-1.38135306179184
Amparo,66666,100000,100000,100000,100000,90000,-1.51132934106837,0.322335598819809
Analândia,85000,85000,85000,65000,89736,85000,-0.997786606145317,-0.074280100531037
Andradina,0,100000,100000,80000,80000,80000,-1.73392939126321,-1.16021439216676
Angatuba,70000,70000,70000,70000,70000,0,-2.55652425767708,-0.779865335135401
Anhembi,70000,70000,70000,70000,70000,60000,-2.2457868287039,-0.763718434394858
Anhumas,0,0,71000,0,0,0,-1.54024220139727,-0.441664446501273
Aparecida,0,0,0,0,0,0,-1.21825905902888,-1.29075758335282
Aparecida d'Oeste,0,0,0,0,0,0,-1.8194669318019,-1.40760249728339
Apiaí,60000,60000,0,0,0,0,-1.04826177961126,0.072434960967915
Araçariguama,0,0,0,0,0,60000,-2.1684208198396,-1.2481644675828
Araçatuba,75000,61603,81000,81000,81000,80000,-1.55898048232053,-0.165684293256378
Araçoiaba da Serra,60000,0,60000,60000,60000,70000,-1.82631818717049,-0.619184839245646
Aramina,80000,80000,60000,62535,62000,71000,-0.261281204645243,-1.1903833034738
Arandu,75000,75000,75000,0,0,0,-2.60282982921045,-1.00495177584348
Arapeí,40000,0,50000,0,50000,0,-1.03512953498314,-0.953393905434635
Araraquara,73529,70000,70000,70000,80000,70000,-1.91025008791302,-0.736018172853127
Araras,75862,71666,79000,81000,81000,70000,-1.35419073545379,0.045689243614103
Arco-Íris,0,0,0,0,0,0,-2.07914073664727,-0.583930022597444
Arealva,80000,80000,80000,80000,80000,80000,-1.32548245731475,-0.018720606268238
Areias,0,0,0,0,0,80000,-1.16505744084969,-0.321863332705725
Areiópolis,80000,80000,80000,85000,80000,90000,-2.55450468474729,-1.07968826033178
Ariranha,60000,60000,60000,56444,83801,77000,-1.24870893711348,-0.972505889081635
Artur nogueira,75000,75000,75000,75000,75000,45000,-1.38879916689588,-0.090152974814532
Arujá,0,0,0,0,0,0,-1.45664697681734,-0.468871333089949
Aspásia,0,0,0,0,0,0,-1.8963313909912,-1.79663047432403
Assis,66666,80000,80000,80000,79505,70000,-2.07471750856298,-0.5317580406222
Atibaia,50000,50000,40000,40000,40000,0,-1.91210737203566,-0.861266574435363
Auriflama,84000,85000,85000,90000,90000,80000,-1.97700312825884,-0.527334727022129
Avaí,70000,70000,60000,100000,70000,70000,-1.14606569125226,-0.447104702446158
Avanhandava,73000,70000,70000,70000,70000,84317,-1.1872106321242,0.351188530981023
Avaré,83700,80000,70000,70000,70000,70000,-2.32406131168157,-0.92611720200875
Bady Bassitt,0,80000,80000,80000,80000,70000,-1.35960288112793,-1.0749331761285
Balbinos,0,0,0,0,0,0,-1.31827876733888,-0.349684702203825
Bálsamo,80000,80000,80000,80000,80000,60000,-0.926965651927862,-1.48029424901003
Bananal,40000,0,40000,0,60000,60000,-1.03512953498314,-0.953393905434635
Barão de Antonina,0,0,0,0,0,0,-2.3496893199493,-1.63005018391326
Barbosa,74000,0,70000,70000,80000,80000,-1.1872106321242,0.351188530981023
Bariri,80000,80000,80000,80000,80000,70000,-1.25538714058201,-0.049470611249157
Barra Bonita,90000,90000,90000,90000,90000,90000,-1.41340309242971,-0.126383769304636
Barra do Chapéu,0,0,0,0,0,0,-1.21481731665797,-0.475023075120139
Barra do Turvo,0,0,0,0,0,0,-1.88311338904122,-0.296644006459332
Barretos,80510,90000,90000,90000,90000,90000,-2.23355988053556,-2.32602506488598
Barrinha,75057,80000,80000,80000,80000,80000,-0.077742835500397,-0.107110530625653
Barueri,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Bastos,80000,80000,80000,79861,80000,80000,-2.38597002026911,-1.45137961170925
Batatais,83333,92000,80000,80000,80000,80000,-1.30328699425102,-1.63476664463372
Bauru,100000,100000,85000,85000,85000,70000,-1.39594819983732,-0.367896172539926
Bebedouro,72727,77000,77000,90000,80000,90000,-2.00586936979415,-1.8776184621283
Bento de Abreu,85000,85000,85000,85000,85000,85000,-1.62271443791995,-0.66220918331395
Bernardino de Campos,80000,70000,80000,80000,80000,70000,-2.67484385523816,-1.34264503097564
Bertioga,0,0,0,0,0,0,-0.836230323567288,-0.619694805833713
Bilac,71970,71970,71970,73080,71428,64000,-1.6764193808014,-0.542592564983864
Birigui,75123,75000,75000,80000,70000,70000,-1.6764193808014,-0.542592564983864
Biritiba Mirim,0,0,0,0,0,0,-1.11617311346972,-0.121325171342916
Boa Esperança do Sul,76190,68000,70000,62857,80000,70000,-0.974955362792558,0.045451799905072
Bocaina,85000,85000,87000,82000,82000,80000,-1.25538714058201,-0.049470611249157
Bofete,0,0,0,0,0,0,-1.8103966039625,-0.5897177316444
Boituva,90000,90000,80000,90000,90000,70000,-2.44860589921579,-0.937071411855206
Bom Jesus dos Perdões,40000,40000,0,0,0,0,-1.9790996510859,-0.756417988261444
Bom Sucesso de Itararé,0,0,0,0,0,0,-1.21481731665797,-0.475023075120139
Borá,0,66000,60000,60000,70000,89965,-2.15926485643337,-0.63669565096216
Boracéia,90000,90000,90000,90000,90000,90000,-1.32548245731475,-0.018720606268238
Borborema,80000,80000,80000,80000,80000,80000,-1.03946428218542,-0.105979637329794
Borebi,70000,70000,80000,74610,70000,70000,-1.6845054768147,-1.05508126584085
Botucatu,65000,65000,65000,65000,77000,70000,-2.36720879217729,-0.841573378047833
Bragança Paulista,50000,50000,50000,50000,50000,0,-1.540004470018,-0.156133623356345
Braúna,74000,70000,70000,70000,70000,70000,-1.76332142603735,-0.173489490246562
Brejo Alegre,0,0,0,85000,0,0,-1.32149135756568,-0.301208974549857
Brodowski,65000,65000,90000,64995,65000,65000,-1.40716348760667,-1.71487959650593
Brotas,80000,100000,100000,88235,81000,82000,-1.38499819585005,-0.126581991587353
Buri,0,0,0,0,0,0,-2.39054050864793,-1.06804047487553
Buritama,85000,85000,80000,84990,84995,80000,-1.32149135756568,-0.301208974549857
Buritizal,85000,85000,90000,85000,85000,75000,-0.277962337034479,-1.41299278537295
Cabrália Paulista,0,0,0,0,0,70000,-1.69745333143704,-0.725538423477055
Cabreúva,60000,60000,60000,60000,60000,70000,-2.1684208198396,-1.2481644675828
Caçapava,59300,59300,59300,59300,30000,60000,-2.05355991351672,-0.830196858135086
Cachoeira Paulista,0,0,0,0,0,0,-0.295728291808956,-0.954166501666562
Caconde,80000,0,80000,80000,80000,90000,-1.17732248638374,-1.16343230612749
Cafelândia,80000,85106,103000,85000,80000,80000,-1.11283220290378,-0.337589237283244
Caiabu,70000,76206,87900,85000,56615,75004,-1.79099082315561,-1.48418689803681
Caieiras,0,0,0,0,0,0,-2.16095909820955,-1.52271523108589
Caiuá,66817,71999,48010,82565,50000,70000,-2.7029878920819,-0.711359854619741
Cajamar,0,0,0,0,0,0,-2.26480238221252,-1.39351154358547
Cajati,0,0,0,0,0,0,-2.30767442173757,-0.115907867510908
Cajobi,85000,85000,85000,60828,61818,85000,-1.30611725818446,-1.25379724909345
Cajuru,72727,87950,70000,70000,70000,70000,-1.44586063056232,-1.10650167202701
Campina do Monte Alegre,0,0,0,0,0,0,-2.72557106276229,-1.05503120717928
Campinas,0,75000,80000,57839,57839,75000,-1.71231344801711,-0.693023510455134
Campo Limpo Paulista,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Campos do Jordão,0,0,0,0,0,0,-1.21012535045651,-1.3264948316979
Campos Novos Paulista,75000,70000,75000,75000,75000,65000,-1.67451528809749,-0.389216851523499
Cananéia,0,0,0,0,0,0,-2.55336703494548,-0.351227957577529
Canas,0,0,0,0,0,0,-0.295728291808956,-0.954166501666562
Cândido Mota,73666,80000,80000,80000,80000,80000,-1.95016370714966,-0.271250957330111
Cândido Rodrigues,75000,80000,90000,90000,90000,90000,-1.69858347284603,-1.68159221504732
Canitar,80000,114285,110000,66390,66300,100000,-1.84137184304603,-0.74010747825025
